	count	mean	std	min	25%	50%	75%	max	Total_Days	count_PN	mean_PN	std_PN	min_PN	25%_PN	50%_PN	75%_PN	max_PN	Total_Days_PN	count_PC	mean_PC	std_PC	min_PC	25%_PC	50%_PC	75%_PC	max_PC	Total_Days_PC	count_PS	mean_PS	std_PS	min_PS	25%_PS	50%_PS	75%_PS	max_PS	Total_Days_PS
Duration (days)	150.0	6.26	2.2537962009543455	4.0	5.0	6.0	7.0	13.0	939.0	44.0	6.295454545454546	2.3185755997679527	4.0	5.0	6.0	6.25	12.0	277.0	67.0	6.17910447761194	2.3414924865727453	4.0	4.0	5.0	7.0	13.0	414.0	35.0	6.514285714285714	2.105614742866831	4.0	5.0	6.0	7.5	13.0	228.0
Bagin of Monthly Analysis				Monthly analysis									Monthly analysis									Monthly analysis									Monthly analysis					
1 days 00:00:00	37.0	7.0	2.3213980461973533	4.0	5.0	6.0	8.0	13.0	259.0	9.0	6.777777777777778	2.4381231397212986	4.0	6.0	6.0	8.0	11.0	61.0	14.0	6.571428571428571	2.4405007592795283	4.0	5.0	6.0	8.5	11.0	92.0	14.0	7.571428571428571	2.1737697038266783	5.0	6.25	7.5	8.0	13.0	106.0
2 days 00:00:00	23.0	6.173913043478261	2.461562214844347	4.0	4.5	5.0	6.5	12.0	142.0	4.0	8.0	3.6514837167011076	4.0	5.5	8.0	10.5	12.0	32.0	9.0	5.888888888888889	2.472066162365221	4.0	4.0	5.0	6.0	11.0	53.0	9.0	5.666666666666667	1.8708286933869709	4.0	5.0	5.0	6.0	10.0	51.0
3 days 00:00:00	21.0	6.142857142857143	2.1514114968019085	4.0	5.0	6.0	7.0	11.0	129.0	7.0	5.428571428571429	1.1338934190276817	4.0	4.5	6.0	6.0	7.0	38.0	7.0	6.857142857142857	2.7945525240230875	4.0	4.5	7.0	8.5	11.0	48.0	5.0	6.6	2.5099800796022267	5.0	5.0	6.0	6.0	11.0	33.0
4 days 00:00:00	3.0	4.333333333333333	0.5773502691896258	4.0	4.0	4.0	4.5	5.0	13.0	1.0	4.0		4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.5	0.7071067811865476	4.0	4.25	4.5	4.75	5.0	9.0									
10 days 00:00:00	10.0	5.7	2.406010991015812	4.0	4.25	5.0	5.75	12.0	57.0	4.0	6.5	3.696845502136472	4.0	4.75	5.0	6.75	12.0	26.0	5.0	5.2	1.3038404810405297	4.0	4.0	5.0	6.0	7.0	26.0	1.0	5.0		5.0	5.0	5.0	5.0	5.0	5.0
11 days 00:00:00	25.0	6.2	2.273030282830976	4.0	5.0	6.0	6.0	13.0	155.0	11.0	6.090909090909091	1.513574937328539	5.0	5.0	6.0	6.0	9.0	67.0	10.0	6.6	3.204163957519444	4.0	5.0	5.5	6.0	13.0	66.0	4.0	5.5	1.2909944487358056	4.0	4.75	5.5	6.25	7.0	22.0
12 days 00:00:00	31.0	5.935483870967742	2.0155310941282574	4.0	4.5	5.0	7.0	12.0	184.0	8.0	6.125	2.5877458475338284	4.0	4.75	5.5	6.25	12.0	49.0	20.0	6.0	1.9194297398747862	4.0	4.75	5.0	7.25	10.0	120.0	2.0	5.5	0.7071067811865476	5.0	5.25	5.5	5.75	6.0	11.0
Bagin of Years Analysis				Years analysis									Years analysis									Years analysis									Years analysis					
1991 days 00:00:00	4.0	6.25	2.0615528128088303	4.0	4.75	6.5	8.0	8.0	25.0	3.0	5.666666666666667	2.0816659994661326	4.0	4.5	5.0	6.5	8.0	17.0										1.0	8.0		8.0	8.0	8.0	8.0	8.0	8.0
